companyID,directorID,startDate,endDate,role
0,322234,1995-09-14,1999-06-09,JUHL
0,26738,1995-09-14,1996-12-12,JUHL
0,118942,2012-01-25,0000-00-00,JUHL
0,3742,2000-07-27,2012-01-25,JUHL
0,149212,2015-04-02,0000-00-00,JUHL
0,103004,2003-11-28,2009-07-14,JUHL
0,121441,1996-12-12,2003-05-14,JUHL
0,199926,1996-12-12,2000-07-27,JUHL
0,67960,2003-05-14,2007-02-28,JUHL
0,224714,2014-08-14,2015-04-02,JUHL
0,22833,1996-12-12,2003-05-14,JUHL
0,118940,2012-01-25,0000-00-00,JUHL
0,322235,1995-09-14,1996-12-12,JUHL
0,27039,1995-09-14,1996-12-12,JUHL
0,65613,1999-06-09,2003-05-14,JUHL
0,3740,2009-07-14,0000-00-00,JUHL
0,103440,2010-09-10,2012-10-05,JUHL
0,67960,1996-12-12,2000-07-27,JUHL
0,224714,2003-05-14,2012-01-25,JUHL
0,22833,1995-09-14,1996-12-12,JUHL
1,5,1998-09-29,0000-00-00,JUHL
1,7,2000-10-05,2014-08-29,JUHL
1,156443,1997-07-08,2000-10-05,JUHL
1,322236,1995-09-14,1998-09-29,JUHA
1,6,1997-07-08,0000-00-00,JUHL
2,166260,1995-09-20,0000-00-00,FIE
3,322237,1995-09-20,2004-10-25,ETTEV
4,111242,1995-09-20,1998-05-27,ETTEV
5,166100,1995-10-28,0000-00-00,FIE
5,166101,2003-05-28,2014-08-19,PROK
6,322239,2000-12-04,2006-12-15,FIE
6,322238,1995-09-20,2006-12-15,PROK
6,322239,1995-09-20,2000-12-04,ETTEV
7,322240,1995-09-27,1998-06-12,TOSAN
7,185869,1998-06-12,0000-00-00,TOSAN
7,278848,1995-09-27,0000-00-00,ESIS
7,322240,1995-09-27,1998-06-12,ESIS
7,278848,1995-09-27,0000-00-00,TOSAN
8,322241,1995-09-20,2008-02-12,ETTEV
9,322575,1995-09-21,2010-01-21,ETTEV
10,166261,1995-09-26,0000-00-00,FIE
11,167506,2006-01-02,0000-00-00,TOSAN
11,282642,1995-09-27,2006-01-02,TOSAN
11,167506,1995-09-27,2006-01-02,TOSAN
11,167506,2006-01-02,0000-00-00,ESIS
11,282642,2006-01-02,0000-00-00,TOSAN
12,31838,1995-09-27,2002-01-04,ETTEV
13,9631,1995-09-26,2001-01-08,ETTEV
14,322242,2004-09-23,0000-00-00,DOKH
14,311893,2000-05-09,2004-09-23,PANKR
14,322242,1995-10-02,2000-05-09,JUHJ
14,322243,1996-02-22,2000-05-09,JUHL
15,12196,1995-09-26,0000-00-00,JUHJ
16,322244,2000-09-27,0000-00-00,DOKH
16,322244,1995-09-27,2000-09-27,JUHL
16,322245,1995-09-27,2000-09-27,JUHL
17,322246,2000-10-16,0000-00-00,DOKH
17,322247,2000-10-16,0000-00-00,DOKH
17,322246,1995-10-05,2000-10-16,JUHL
17,322247,1995-10-05,2000-10-16,JUHL
18,322248,2000-11-29,0000-00-00,DOKH
18,322248,1995-11-14,2000-11-29,JUHJ
19,8,2003-07-10,0000-00-00,JUHL
19,273437,2003-03-18,2003-07-10,JUHL
19,9,1995-10-06,2000-03-17,JUHA
20,11,1995-09-28,0000-00-00,JUHL
20,10,1995-09-28,0000-00-00,JUHL
21,322250,1996-04-10,1999-07-29,JUHJ
21,289383,2004-09-17,0000-00-00,LIKV
21,322249,1995-10-02,1999-07-29,JUHJ
21,289383,1999-07-21,2004-09-17,JUHL
22,322253,2000-01-31,2003-12-30,JUHL
22,322255,1999-03-24,2000-01-31,JUHL
22,4279,2003-12-30,2011-01-18,PANKR
22,322252,1999-03-24,2000-01-31,JUHL
22,322254,2000-01-31,2003-12-30,JUHL
22,322255,1995-09-28,1998-04-06,JUHJ
22,38762,1998-04-06,1999-03-24,JUHL
22,322251,1997-12-02,1998-04-06,JUHL
23,322257,2010-12-01,2011-09-15,JUHL
23,110034,2011-09-15,0000-00-00,JUHL
23,322259,1995-09-28,2008-04-25,JUHL
23,110036,2005-11-28,0000-00-00,JUHL
23,322261,2001-03-30,0000-00-00,PROK
23,53622,2005-11-28,2006-07-31,JUHL
23,322263,1995-09-28,1998-05-21,JUHL
23,128814,2012-06-04,0000-00-00,JUHL
23,322256,1998-05-21,2001-03-30,JUHL
23,223917,2005-11-28,2008-04-25,JUHL
23,322258,1995-09-28,1998-05-21,JUHL
23,94425,2008-04-25,2010-12-01,JUHL
23,322260,2001-03-30,2005-11-28,PROK
23,53621,2006-07-31,2012-06-04,JUHL
23,322262,2005-11-28,2008-04-25,JUHL
23,110035,2008-04-25,0000-00-00,JUHL
23,3862,2001-03-30,2005-11-28,JUHL
24,322264,1995-10-27,2000-11-24,JUHE
24,322265,1995-10-27,2000-11-24,JUHL
24,322264,2000-11-24,0000-00-00,DOKH
24,322265,2000-11-24,0000-00-00,DOKH
25,54634,2004-10-21,2010-02-04,JUHL
25,26542,2010-05-20,2011-04-21,LIKV
25,322266,1998-03-11,2000-01-19,JUHL
25,26542,2004-10-21,2010-02-04,JUHL
25,322268,1998-03-11,2004-10-21,JUHL
25,11695,2011-04-21,0000-00-00,DOKH
25,122706,2010-02-04,2010-05-20,JUHL
25,26542,2010-02-04,2010-05-20,JUHL
25,322267,1995-10-06,1998-03-11,JUHL
25,14879,2000-01-19,2004-10-21,JUHL
26,166262,2010-04-07,0000-00-00,FIE
26,166262,2006-01-02,2010-04-07,ETTEV
26,166262,1995-10-18,2006-01-02,ETTEV
27,12,1995-10-05,2000-09-22,JUHL
27,12,2004-04-01,0000-00-00,JUHL
27,322269,2000-09-22,2004-04-01,JUHL
27,12,2000-09-22,2004-04-01,JUHL
28,322270,1995-10-05,2000-09-14,ETTEV
29,4279,2001-03-07,2002-11-14,PANKR
29,322271,1995-10-05,2001-03-07,JUHE
29,322272,1995-10-05,2001-03-07,JUHL
29,322271,2002-11-14,0000-00-00,DOKH
30,322273,2004-03-22,0000-00-00,DOKH
30,322273,1995-10-23,2004-03-22,JUHL
30,322274,1999-09-29,2004-03-22,PROK
31,190277,2011-11-17,0000-00-00,UOSAN
31,180937,1995-10-09,0000-00-00,UOSAN
31,190277,1995-10-09,0000-00-00,UOSAN
31,112153,1995-10-09,0000-00-00,TOSAN
31,180937,2011-11-17,0000-00-00,UOSAN
32,322275,1995-10-04,2003-11-17,JUHL
32,322275,2003-11-17,0000-00-00,DOKH
33,167327,2013-10-29,2014-04-28,LIKV
33,202372,2013-10-29,2015-03-18,LIKV
33,166585,1995-12-01,2004-11-08,JUHL
33,153493,2013-10-29,2015-03-18,LIKV
33,167327,1995-12-01,2013-10-29,JUHL
33,202372,2004-11-08,2013-10-29,JUHL
33,153493,1995-12-01,2013-10-29,JUHL
33,153493,2015-03-18,0000-00-00,DOKH
34,12954,1996-02-06,1996-11-04,JUHL
34,46359,1995-10-04,1998-04-13,JUHL
34,26768,1999-06-03,2000-05-26,JUHL
34,109158,1995-10-04,1998-04-13,JUHL
34,13,1999-11-24,2002-09-27,JUHL
34,24631,1997-07-10,1998-04-13,JUHL
34,322277,1998-04-13,1999-06-03,JUHL
34,13562,1998-04-13,1999-11-24,JUHL
