companyID,ateco
0,
1,
2,3;7
3,11
4,6
5,17
6,
7,7
8,7
9,6
10,6
11,6
12,6
13,3
14,
15,6
16,11;14
17,1;3;5;8;14
18,
19,7;19
20,
21,
22,6;13
23,8
24,3
25,14
26,6
27,1;5;6
28,
29,7;14
30,
31,7
32,9
33,3
34,6
35,3
36,
37,1
38,
39,6;8
40,9;18
41,9
42,7
43,
44,1
45,6
46,6;8
47,7;9
48,6
49,3;5;6;8
50,
51,
52,6
53,7
54,
55,3
56,3
57,3
58,8
59,7
60,14
61,7
62,7
63,7
64,
65,
66,6;12
67,6
68,6;12
69,
70,14
71,6
72,
73,10
74,3
75,7
76,12
77,9
78,
79,
80,8
81,
82,8
83,6
84,17
85,6
86,7
87,7;19
88,7
89,7
90,3;7
91,7;19
92,14
93,9;14
94,9
95,3;6
96,6
97,9
98,6
99,7
100,7;14
101,6
102,3;6;8
103,9;17
104,
105,
106,
107,
108,19
109,
110,7
111,7;19
112,
113,12
114,13
115,6
116,3
117,
118,
119,3
120,7;9
121,6;12
122,7
123,12
124,7
125,6
126,14
127,6
128,7
129,
130,10;13
131,6
132,13
133,9
134,7
135,3
136,
137,
138,
139,
140,9
141,3
142,19
143,
144,12
145,9
146,7
147,7
148,7
149,7
150,3;7
151,7
152,
153,3
154,
155,7
156,
157,
158,
159,13
160,6
161,12
162,1
163,
164,3;7;13
165,7
166,14;16
167,14
168,7
169,6
170,7
171,7
172,6
173,7
174,9
175,7
176,9
177,7
178,
179,7
180,14
181,
182,10;13;16
183,7
184,
185,3
186,
187,6;12
188,
189,7
190,9
191,3
192,8
193,7;13;14;19
194,14;19
195,3
196,
197,
198,6;7
199,12
200,7
201,7
202,3
203,6
204,7
205,9
206,12
207,3
208,6
209,14
210,17
211,12
212,14
213,7
214,10
215,3;8;14
216,6
217,19
218,9
219,13
220,7;10;13
221,7
222,18
223,8
224,3
225,7
226,1
227,3
228,14
229,7
230,7
231,3
232,8
233,7
234,3
235,14
236,3
237,6
238,7
239,6
240,14
241,6
242,3
243,7
244,
245,12
246,6;8
247,1
248,6;12
249,7
250,6
251,7
252,1
253,3
254,6
255,6;12
256,1
257,
258,
259,3
260,3
261,12
262,3
263,9
264,5;8;14
265,6
266,3
267,7
268,9
269,
270,
271,8;14
272,
273,7
274,
275,3;6;13
276,6;12
277,6
278,6;12
279,7;9
280,2
281,7
282,7
283,
284,7
285,
286,3
287,6
288,
289,17
290,6
291,
292,
293,6
294,3;5;8;14
295,12
296,6
297,
298,
299,12
300,1
301,3
302,7
303,3
304,
305,7;18
306,7
307,7
308,7
309,3;7;9
310,3;16;17
311,7
312,10;13
313,10
314,3
315,12
316,12
317,3
318,7
319,7;19
320,3;6;7;8
321,7
322,
323,1;7;9
324,1;7
325,3;7
326,3
327,1
328,7
329,7
330,3
331,14
332,
333,7;9
334,
335,3
